ID	Player	Wins	Losses	KDA	Kills	Deaths	Assists	LH	DN	GPM	XPM
141824205	sometimes.	10	5	7.23404255319149	10.733333333333333	3.1333333333333333	11.933333333333334	206.73333333333332	11.8	496.53333333333336	626.4	
407336594	SkyAxe	14	7	4.686746987951807	9.238095238095237	3.9523809523809526	9.285714285714286	231.95238095238096	17.714285714285715	524.047619047619	573.1904761904761	
310676057	LADLADLADLADLAD	14	8	4.212389380530974	6.7272727272727275	5.136363636363637	14.909090909090908	148.5909090909091	10.272727272727273	424.40909090909093	508.6818181818182	
204229242	Sorry 'BouT iT	12	7	4.444444444444445	6.2105263157894735	5.2105263157894735	16.94736842105263	48.26315789473684	1.1578947368421053	313.42105263157896	432.05263157894734	
164817444	Changaroo	12	4	4.227848101265823	2.625	4.9375	18.25	38.125	5.5625	297.1875	451.5	
90587375	WillHD	10	7	4.95	6.9411764705882355	3.5294117647058822	10.529411764705882	285.88235294117646	9.647058823529411	545.1176470588235	573.5882352941177	
243315777	Jett	11	5	4.0588235294117645	4.375	4.25	12.875	151.5	14.875	443.875	503.25	
112645579	Real Chef Doggo	16	9	2.7770700636942673	5.64	6.28	11.8	207.16	10.48	461.76	549.32	
30916308	Bobby	9	5	3.898550724637681	8.785714285714286	4.928571428571429	10.428571428571429	240.78571428571428	13.928571428571429	551.2857142857143	606.1428571428571	
43273289	Swift	10	6	3.154639175257732	5.25	6.0625	13.875	121.8125	8.9375	366.875	451.8125	
51431823	Froggy	8	7	3.8734177215189876	3.7333333333333334	5.266666666666667	16.666666666666668	79.2	3.6	321.4	406.46666666666664	
128561279	Ayershole	11	6	2.609090909090909	2.8823529411764706	6.470588235294118	14.0	38.1764705882353	2.176470588235294	283.70588235294116	372.8235294117647	
113316834	BeardedClam	9	5	3.118279569892473	3.5	6.642857142857143	17.214285714285715	31.714285714285715	4.5	279.7142857142857	406.64285714285717	
202611720	EmperorOfAsia	7	5	3.8541666666666665	6.916666666666667	4.0	8.5	205.33333333333334	9.25	521.0833333333334	604.1666666666666	
84696252	안녕	7	7	3.5303030303030303	5.5	4.714285714285714	11.142857142857142	205.71428571428572	12.642857142857142	455.92857142857144	504.42857142857144	
178434754		6	3	3.9814814814814814	13.444444444444445	6.0	10.444444444444445	285.77777777777777	16.666666666666668	672.5555555555555	726.5555555555555	
893449828	just hold on were going…	2	0	11.25	11.5	2.0	11.0	155.0	12.0	579.5	686.5	
166680429	Yumi Sabito	7	10	2.7745098039215685	6.411764705882353	6.0	10.235294117647058	224.58823529411765	6.588235294117647	438.3529411764706	514.5294117647059	
121233387	kden	8	8	2.388888888888889	3.875	6.75	12.25	52.0625	2.9375	275.5625	373.625	
67632348	Asian Wolf	5	8	3.088607594936709	4.076923076923077	6.076923076923077	14.692307692307692	71.92307692307692	4.461538461538462	323.15384615384613	453.2307692307692	
86011154	Shiri (忘​れ​た​い)	5	12	2.8488372093023258	5.0	5.0588235294117645	9.411764705882353	77.29411764705883	4.705882352941177	321.5882352941176	425.94117647058823	
315565291	JinN	2	0	6.333333333333333	4.0	3.0	15.0	57.0	5.0	336.0	526.5	
172199571	DoomCow33	3	5	4.0	8.5	4.5	9.5	232.0	15.125	516.875	637.125	
156221743	[AIMA] DamoclesTheDankC…	5	7	2.2739726027397262	3.5833333333333335	6.083333333333333	10.25	179.33333333333334	6.75	407.1666666666667	426.9166666666667	
